Participant,HFPS_1,HTPS_1,HFPS_2,HTPS_2,LFPS_1,LTPS_1,LFPS_2,LTPS_2,Score_H1,Score_H2,Score_L1,Score_L2
1,,,112,68,171,9,error,,,,,
2,78,97,94,94,91,76,102,73,7,11,7,11
3,,,,,,,146,34,,,,
4,120,60,,,104,76,102,78,,,,
5,80,100,80,100,140,40,113,67,18,28,22,24
6,110,70,50,130,110,70,114,66,5,0,6,18
7,146,34,108,62,146,34,164,24,9,21,20,18
8,75,105,95,85,126,52,113,65,8,12,9,11
9,72,107,111,78,140,39,145,34,9,17,16,26
10,79,101,99,81,86,92,106,72,13,15,10,13
11,138,40,90,88,116,62,96,82,5,9,17,14
12,45,133,59,120,68,111,62,116,8,11,6,10
13,93,87,70,110,104,76,107,73,11,13,9,13
14,63,117,37,153,46,134,21,159,4,6,6,7
15,104,76,65,115,120,60,138,42,18,19,25,29
16,47,133,68,112,112,68,134,46,9,16,25,35
17,67,113,78,102,153,27,80,100,12,18,9,15
18,100,80,56,124,110,70,83,97,8,13,29,30
19,97,83,78,102,134,46,123,57,5,10,21,17
20,100,80,63,117,133,47,132,38,14,3,23,22
21,82,98,81,99,134,46,113,67,23,29,19,26
22,166,14,161,9,176,4,160,20,9,2,15,18
23,78,102,38,142,97,83,86,94,5,9,23,22
24,82,88,58,122,100,80,118,62,14,14,25,35
25,71,109,79,101,180,0,137,43,16,19,15,25
26,67,111,95,83,112,66,131,47,10,14,18,31
27,66,112,68,110,117,71,125,53,8,17,24,23
28,99,79,60,118,114,65,109,70,17,17,20,22
29,96,82,90,89,151,27,142,36,19,9,13,19
30,159,20,64,115,82,97,102,76,6,14,20,16
31,,,,,,,,,,,,
32,,,,,,,,,,,,
33,,,,,,,,,,,,
34,65,114,56,122,123,57,90,90,9,15,31,29
35,116,73,84,94,75,75,111,69,12,14,27,26
36,64,115,76,102,153,26,99,51,15,16,6,14
37,179,0,63,115,101,77,112,67,10,20,31,31
38,132,47,130,49,153,26,155,25,7,8,16,12
39,32,147,18,161,66,113,65,114,2,5,12,14
40,63,116,46,132,99,89,135,44,9,17,19,30
41,74,105,53,126,102,76,83,96,11,10,21,19
42,83,96,77,112,134,45,97,81,19,20,21,30
43,176,3,54,125,49,130,51,128,8,8,15,16
44,135,43,123,56,148,31,116,63,7,11,22,24
45,84,94,77,102,114,65,107,71,25,27,20,26
46,105,74,118,62,126,53,143,35,3,4,8,14
47,46,122,63,116,134,45,121,57,11,15,15,27
48,80,99,55,124,66,112,72,106,8,8,12,14
49,144,25,160,20,180,0,127,52,9,5,7,14
50,75,103,64,115,97,81,98,81,7,6,16,17
51,72,106,70,108,126,52,127,52,22,25,20,35
